eval_id,prompt_id,level,model_id,model_name,video,expected_note,audio_accuracy,video_accuracy,av_alignment,overall
eval_1f_cosmos3,1F,1,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level1\1f.mp4,F4,0.411,0.95,0.902,0.747
eval_1g_cosmos3,1G,1,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level1\1g.mp4,B4,0.0,0.475,0.0,0.166
eval_1h_cosmos3,1H,1,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level1\1h.mp4,C5,0.471,0.6,0.336,0.476
eval_1i_cosmos3,1I,1,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level1\1i.mp4,A3,0.453,0.525,0.849,0.597
eval_1j_cosmos3,1J,1,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level1\1j.mp4,E3,0.421,0.6,0.642,0.55
eval_2f_cosmos3,2F,2,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level2\2f.mp4,"['E4', 'F4', 'G4', 'A4']",0.458,0.6,0.494,0.518
eval_2g_cosmos3,2G,2,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level2\2g.mp4,"['D4', 'F4', 'A4']",0.388,0.667,0.0,0.369
eval_2h_cosmos3,2H,2,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level2\2h.mp4,"['G4', 'A4', 'B4', 'C5']",0.375,1.0,0.188,0.538
eval_2i_cosmos3,2I,2,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level2\2i.mp4,"['C4', 'E4', 'F4', 'G4']",0.531,0.6,0.416,0.521
eval_2j_cosmos3,2J,2,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level2\2j.mp4,"['F4', 'A4', 'B4']",0.35,0.85,0.0,0.42
eval_3f_cosmos3,3F,3,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level3\3f.mp4,"['A4', 'G4', 'F4', 'E4']",0.5,1.0,0.024,0.532
eval_3g_cosmos3,3G,3,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level3\3g.mp4,"['C5', 'B4', 'A4', 'G4']",0.572,0.194,0.863,0.527
eval_3h_cosmos3,3H,3,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level3\3h.mp4,"['A4', 'G4', 'E4']",0.325,1.0,0.281,0.548
eval_3i_cosmos3,3I,3,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level3\3i.mp4,"['G4', 'F4', 'D4', 'C4']",0.458,0.602,0.645,0.565
eval_3j_cosmos3,3J,3,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level3\3j.mp4,"['B4', 'A4', 'F4']",0.45,1.0,0.03,0.516
eval_4f_cosmos3,4F,4,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level4\4f.mp4,"['D4', 'D4', 'D4']",0.688,0.796,0.736,0.74
eval_4g_cosmos3,4G,4,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level4\4g.mp4,"['A4', 'A4', 'A4', 'A4']",0.566,0.725,0.229,0.521
eval_4h_cosmos3,4H,4,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level4\4h.mp4,"['G4', 'G4', 'E4', 'G4']",0.0,1.0,0.0,0.35
eval_4i_cosmos3,4I,4,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level4\4i.mp4,"['F4', 'F4', 'F4']",0.325,1.0,0.61,0.647
eval_4j_cosmos3,4J,4,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level4\4j.mp4,"['C4', 'E4', 'C4', 'E4']",0.619,0.6,0.451,0.562
eval_5f_cosmos3,5F,5,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level5\5f.mp4,"['F4', 'A4']",0.574,0.75,0.189,0.52
eval_5g_cosmos3,5G,5,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level5\5g.mp4,"['G4', 'B4', 'D5']",0.227,0.7,0.282,0.409
eval_5h_cosmos3,5H,5,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level5\5h.mp4,"['E4', 'G4', 'A4', 'C5']",0.5,0.875,0.093,0.509
eval_5i_cosmos3,5I,5,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level5\5i.mp4,"['E4', 'G4', 'B4']",0.223,0.9,0.188,0.449
eval_5j_cosmos3,5J,5,cosmos3,Cosmos 3,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3\level5\5j.mp4,"['C4', 'G4', 'E4', 'A4']",0.394,0.457,0.554,0.464
eval_1f_cosmos3-super,1F,1,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level1\1f.mp4,F4,0.424,1.0,0.429,0.627
eval_1g_cosmos3-super,1G,1,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level1\1g.mp4,B4,0.0,0.6,0.0,0.21
eval_1h_cosmos3-super,1H,1,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level1\1h.mp4,C5,0.0,0.95,0.0,0.332
eval_1i_cosmos3-super,1I,1,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level1\1i.mp4,A3,0.8,0.2,0.0,0.35
eval_1j_cosmos3-super,1J,1,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level1\1j.mp4,E3,0.49,0.525,0.0,0.355
eval_2f_cosmos3-super,2F,2,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level2\2f.mp4,"['E4', 'F4', 'G4', 'A4']",0.367,0.575,0.22,0.396
eval_2g_cosmos3-super,2G,2,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level2\2g.mp4,"['D4', 'F4', 'A4']",0.517,0.85,0.119,0.514
eval_2h_cosmos3-super,2H,2,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level2\2h.mp4,"['G4', 'A4', 'B4', 'C5']",0.375,0.45,0.161,0.337
eval_2i_cosmos3-super,2I,2,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level2\2i.mp4,"['C4', 'E4', 'F4', 'G4']",0.5,0.4,0.026,0.323
eval_2j_cosmos3-super,2J,2,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level2\2j.mp4,"['F4', 'A4', 'B4']",0.517,0.567,0.207,0.441
eval_3f_cosmos3-super,3F,3,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level3\3f.mp4,"['A4', 'G4', 'F4', 'E4']",0.525,0.825,0.209,0.535
eval_3g_cosmos3-super,3G,3,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level3\3g.mp4,"['C5', 'B4', 'A4', 'G4']",0.5,0.675,0.145,0.455
eval_3h_cosmos3-super,3H,3,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level3\3h.mp4,"['A4', 'G4', 'E4']",0.283,0.633,0.064,0.34
eval_3i_cosmos3-super,3I,3,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level3\3i.mp4,"['G4', 'F4', 'D4', 'C4']",0.378,0.6,0.0,0.342
eval_3j_cosmos3-super,3J,3,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level3\3j.mp4,"['B4', 'A4', 'F4']",0.388,0.433,0.0,0.287
eval_4f_cosmos3-super,4F,4,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level4\4f.mp4,"['D4', 'D4', 'D4']",0.0,1.0,0.0,0.35
eval_4g_cosmos3-super,4G,4,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level4\4g.mp4,"['A4', 'A4', 'A4', 'A4']",0.0,0.475,0.0,0.166
eval_4h_cosmos3-super,4H,4,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level4\4h.mp4,"['G4', 'G4', 'E4', 'G4']",0.325,0.575,0.373,0.427
eval_4i_cosmos3-super,4I,4,cosmos3-super,Cosmos 3 Super,C:\Users\awang28\OneDrive - Eastside Preparatory School\Documents\GitHub\pianobench\data\videos\cosmos3-super\level4\4i.mp4,"['F4', 'F4', 'F4']",0.0,1.0,0.0,0.35
